player_id,rotowire_id
1631105,5703
1630193,5201
1629020,4458
201587,2821
1630631,5424
1631097,5698
1628381,4159
202709,3226
1629012,4412
1627814,3947
1630567,5390
202692,3192
203932,3577
1629651,4827
203914,3582
203952,3571
200768,2720
203457,3431
1631114,5687
201565,2921
1628365,4100
1630194,5124
1629629,4772
1628964,4371
1629640,4782
1629655,4824
201569,2926
1627827,3911
201142,2811
1627777,3917
1628975,4456
1630526,5411
1628973,4405
1630586,5409
203939,3610
1628404,4136
1626167,3725
1626192,3727
1631093,5696
1628969,4386
203496,3495
1628418,4155
1629667,4908
1631109,5647
203991,3587
1631101,5693
1629643,4805
1629611,4860
1626149,3724
1629060,4778
1630692,5460
202331,3114
1627936,3952
201145,2818
202695,3195
1628398,4167
1629632,4801
1627739,3854
1629638,4765
1628983,4387
201937,3012
203083,3300
1631172,5695
1628470,4214
1630165,5121
1629647,4624
1629652,4808
1627752,3858
1630529,5414
1629627,4777
1626168,3738
1629014,4373
204060,3689
1629639,4780
203084,3305
1630537,5345
1629680,4802
1629614,5679
1629723,4864
201143,2816
1630573,5338
1630200,5111
1629684,4814
1628379,4123
1629630,4761
1629637,4771
1631222,5694
1630178,5158
1628960,4454
1630598,5412
1626158,3755
1630172,5122
1631117,5644
1630208,5212
1629626,4759
202681,3186
1627826,3888
1630173,5249
1630188,5169
1629659,4821
1627749,3856
1630596,5355
1626220,3977
1630591,5379
1630700,5385
1629216,4631
1629111,4562
1630171,5264
203915,3616
203897,3597
202330,3104
203924,3588
1630175,5232
1626224,3764
1626153,3710
1630558,5354
1628401,4195
1630557,5387
1630578,5404
1631110,5702
1629656,5391
203110,3299
1629006,4436
1631099,5699
1630214,5290
1629670,5162
1630230,5204
203488,3463
1628415,4125
1626145,3739
202685,3190
203926,3579
1630228,5287
1630538,5397
202711,3236
201939,3014
1630164,5100
1630559,5334
202691,3197
203507,3456
1628997,4931
1627742,3861
1629027,4369
1629011,4426
203994,3580
1628370,4117
1630191,5137
1629646,4833
1629636,4749
1628380,4162
202710,3231
202083,3057
1627783,3922
1629642,4760
201144,2813
203552,3498
1626164,3711
1629726,4990
203954,3572
1627747,3914
202696,3212
1629675,4806
203486,3442
1630182,5192
1628449,4143
1630543,5403
201950,3029
1628467,3658
1628374,4119
202704,3217
1631094,5700
203081,3304
203471,3444
1627763,3898
203903,3614
1630583,5428
203925,3636
1630224,5230
203999,3612
1630217,5159
203937,3586
201567,2931
1630533,5400
1630166,5152
1629622,4947
1629234,4416
1628998,4929
1629634,4819
1629028,4372
203500,3445
1628378,4166
203967,3451
203935,3575
203095,3317
1630169,5114
203493,3458
203078,3303
1631223,5713
1626196,3770
1627832,3935
1629673,4791
1629130,4470
203484,3450
203944,3574
1630180,5182
1630581,5366
1629162,4533
203114,3356
201935,3018
1630168,5118
1630162,5110
1630552,5329
203992,3593
1628966,4378
1628369,4108
1627734,3865
202699,3211
1631132,5645
1630197,5250
1628386,4122
1631103,5664
1630174,5120
203497,3440
203076,3297
101108,2584
1629002,4379
1629029,4396
1629021,4389
201988,3027
1630245,5337
1628389,4153
1630560,5360
201152,2827
203473,3486
1630170,5113
1626166,3744
1627750,3882
203200,3242
203109,3324
1630579,5389
1630167,5109
201976,3072
1631106,5704
1629731,4893
1631104,5652
1631119,5690
1629676,4834
1630183,5221
1628989,4449
1627751,3870
1627741,3884
1628978,4439
1629013,4414
1630528,5335
201572,2918
1629003,4443
1630532,5370
1629026,4462
1630587,5353
1626181,3726
1630595,5336
1626179,3736
1630544,5331
203482,3443
1628988,4380
1627736,3853
1627759,3894
204001,3669
1630198,5291
1629661,4916
